Nome,Usuário,Partido,Orientação Política
Bosco Costa,BoscoCosta_SE,PR,Direita
Sheridan,DepSheridan,PSDB,Centro
Deputado Federal Nicoletti,depnicoletti,PSL,Direita
Joenia Wapichana,JoeniaWapichana,REDE,Esquerda
Jhonatan de Jesus,jhonatan_djesus,PRB,Direita
Deputado Edio Lopes,ediolopes,PR,Direita
Hiran Gonçalves,deputadohiran,PP,Direita
Silvia Cristina,silviacristinax,PDT,Esquerda
Mariana Carvalho,DeputadaMariana,PSDB,Centro
Lucio Mosquini,luciomosquini,MDB,Centro
Jaqueline Cassol,jqcassol,PP,Direita
Expedito Netto,netto_expedito,PSD,Direita
Dr. Mauro Nazif,nazif_dr,PSB,Esquerda
Walter Alves,walteralvesrn,MDB,Centro
Rafael Motta,RafaelMottaRN,PSB,Esquerda
